Start Date	End Date	Headline	Text	Media	Media Credit	Media Caption	Media Thumbnail	Type	Tag	Speaker	Speaker_url	Description
11/12/2015 8:30:00	11/12/2015 9:30:00	Welcome to Big Android BBQ Europe 2015	Doors open / registration	http://developer.android.com/images/brand/Android_Robot_200.png			http://cdn1.iconfinder.com/data/icons/WPZOOM_Social_Networking_Icon_Set/24/android.png		University Room			
11/12/2015 9:30:00	11/12/2015 10:15:00	Steve Kondik (Cyanogen) delivers Keynote at BABBQ Europe	<strong>Steve Kondik</strong><br/><img src="http://www.babbq.nl/wp-content/uploads/2015/09/steve.png" alt="speaker_img"/><br/>Steve Kondik is going to discuss the evolution and direction of the current mobile platforms. In today’s industry, devices are only a small portion of the product, leaving the experience and feel to the operating system that drives the hardware. Cyanogen himself is going to discuss the intricacies and complexities behind driving a better and more user friendly experience.				http://cdn1.iconfinder.com/data/icons/pidginsmilies/coffee.png		University Room	Steve Kondik	http://www.babbq.nl/wp-content/uploads/2015/09/steve.png	Steve Kondik is going to discuss the evolution and direction of the current mobile platforms. In today’s industry, devices are only a small portion of the product, leaving the experience and feel to the operating system that drives the hardware. Cyanogen himself is going to discuss the intricacies and complexities behind driving a better and more user friendly experience.
11/12/2015 10:15:00	11/12/2015 11:00:00	How to not disable SELinux on Android	<strong>Rémy Gottschalk, & Guillaume Vercoutère</strong><br/><img src="http://www.babbq.nl/wp-content/uploads/2015/10/Guillaume2.png" alt="speaker_img"/><br/>SELinux is an access control mechanism integrated in the Linux kernel. The presentation starts with a short introduction to SELinux and its impact on Android. Rémy & Guillaume will show the best practices to grant a service new access rights under SELinux.   SELinux has been progressively making its way to Android. It can be a pain to configure but is now here to stay. Because disabling SELinux is never a solution, Rémy & Guillaume started to study it’s mechanism as they worked on rom cooking.						Erasmus Room 1	Rémy Gottschalk & Guillaume Vercoutère	http://www.babbq.nl/wp-content/uploads/2015/10/Guillaume2.png	SELinux is an access control mechanism integrated in the Linux kernel. The presentation starts with a short introduction to SELinux and its impact on Android. Rémy & Guillaume will show the best practices to grant a service new access rights under SELinux. SELinux has been progressively making its way to Android. It can be a pain to configure but is now here to stay. Because disabling SELinux is never a solution, Rémy & Guillaume started to study it’s mechanism as they worked on rom cooking.
11/12/2015 10:15:00	11/12/2015 11:00:00	t.b.a.							University Room			
11/12/2015 11:00:00	11/12/2015 11:30:00	Coffee break		http://rlv.zcache.com/android_mug-p168172001597968731enw9p_400.jpg	Coffee		http://cdn1.iconfinder.com/data/icons/pidginsmilies/coffee.png		University Room			
11/12/2015 11:30:00	11/12/2015 12:15:00	Custom Lint rules – A journey towards cleaner code, talk by André Diermann	<strong>André Diermann</strong><br/><img src="http://www.babbq.nl/wp-content/uploads/2015/09/andre.png" alt="speaker_img"/><br/>Every Android Developer is using it all the time: Lint. It’s deeply integrated into Android Studio and features more than 200 default checks. It’s possible to extend this powerful tool, but how?    By writing custom Lint rules for large enterprise Android projects for more than two years now, André gained comprehensive hands-on experience with Lint. Unfortunately official documentation on how to write custom Lint rules is rare and deprecated. When it comes to testing or operating these rules you won’t find any official documentation.						University Room	André Diermann	http://www.babbq.nl/wp-content/uploads/2015/09/andre.png	Every Android Developer is using it all the time: Lint. It’s deeply integrated into Android Studio and features more than 200 default checks. It’s possible to extend this powerful tool, but how? By writing custom Lint rules for large enterprise Android projects for more than two years now, André gained comprehensive hands-on experience with Lint. Unfortunately official documentation on how to write custom Lint rules is rare and deprecated. When it comes to testing or operating these rules you won’t find any official documentation.
11/12/2015 11:30:00	11/12/2015 12:15:00	Blendle’s Android lead Jolanda Verhoef	<strong>Jolanda Verhoef</strong><br/><img src="http://www.babbq.nl/wp-content/uploads/2015/09/Jolanda-91x92.png" alt="speaker_img"/><br/>When starting at Blendle, Jolanda had a fresh chance to build an Android application from the ground up. She could finally use all the libraries she had wanted to use for a long time.    At this point in time, Jolanda is using Butterknife, Universal Image Loader, OkHttp, GSon, EventBus, RxAndroid / RxJava, Mosby, Icepick, FragmentArgs, and a lot of UI libraries on top of that. Each of those libraries has its perks and Jolanda is eager to share with you her experiences.						Erasmus Room 1	Jolanda Verhoef	http://www.babbq.nl/wp-content/uploads/2015/09/Jolanda-91x92.png	When starting at Blendle, Jolanda had a fresh chance to build an Android application from the ground up. She could finally use all the libraries she had wanted to use for a long time. At this point in time, Jolanda is using Butterknife, Universal Image Loader, OkHttp, GSon, EventBus, RxAndroid / RxJava, Mosby, Icepick, FragmentArgs, and a lot of UI libraries on top of that. Each of those libraries has its perks and Jolanda is eager to share with you her experiences.
11/12/2015 11:30:00	11/12/2015 12:15:00	Doze Mode & App Standby in Android M	<strong>David Vávra</strong><br/><img src="http://www.babbq.nl/wp-content/uploads/2015/09/david.png" alt="speaker_img"/><br/>Android Marshmallow brings major changes to the platform which can limit functionality of existing apps. If you are doing any background work in your app, your app will be affected by Doze & App Standby in favour of longer battery life. Let’s see what APIs will be limited and what are the best practices for scheduling background tasks.						Erasmus Room 2	David Vávra	http://www.babbq.nl/wp-content/uploads/2015/09/david.png	Android Marshmallow brings major changes to the platform which can limit functionality of existing apps. If you are doing any background work in your app, your app will be affected by Doze & App Standby in favour of longer battery life. Let’s see what APIs will be limited and what are the best practices for scheduling background tasks.
11/12/2015 12:15:00	11/12/2015 13:00:00	Android, The World Phone	<strong>Corey Latislaw</strong><br/><img src="http://www.babbq.nl/wp-content/uploads/2015/10/corey.png" alt="speaker_img"/><br/>Emerging markets are where most of the mobile growth over the next decade will occur, but there are too few solutions that specifically target (or even consider) their needs. Building solutions that serve all of your customers will become increasingly more important.   In this session Corey will explore emerging use cases, technical challenges, and social challenges you will encounter when serving these markets. You will walk away with guidelines to write globally inclusive applications in order to make a broader global impact.						University Room	Corey Latislaw	http://www.babbq.nl/wp-content/uploads/2015/10/corey.png	Emerging markets are where most of the mobile growth over the next decade will occur, but there are too few solutions that specifically target (or even consider) their needs. Building solutions that serve all of your customers will become increasingly more important. In this session Corey will explore emerging use cases, technical challenges, and social challenges you will encounter when serving these markets. You will walk away with guidelines to write globally inclusive applications in order to make a broader global impact.
11/12/2015 12:15:00	11/12/2015 13:00:00	Expressive functional testing with Espresso	<strong>Maciej Górski</strong><br/><img src="http://www.babbq.nl/wp-content/uploads/2015/09/maciej.png" alt="speaker_img"/><br/>Maciej will show you his approach towards functional testing with Espresso and a bit of dependency inversion magic. Do you have a feeling testing network error conditions is hard or cumbersome when done manually?   Turns out it’s even easier to automatically test it than “the happy path”. You will see real code from production app, so remember to drink a shot of espresso before joining this session.						Erasmus Room 1	Maciej Górski	http://www.babbq.nl/wp-content/uploads/2015/09/maciej.png	Maciej will show you his approach towards functional testing with Espresso and a bit of dependency inversion magic. Do you have a feeling testing network error conditions is hard or cumbersome when done manually? Turns out it’s even easier to automatically test it than “the happy path”. You will see real code from production app, so remember to drink a shot of espresso before joining this session.
